,Accuracy,Precision,Recall,F1 Score,AUC-ROC,AUC-PR,MSE
GCN,0.5030897080758576,0.5146842878120411,0.14902210884353742,0.23112429937355752,0.5076183663207914,0.5058335366227407,1.5242111682891846
GAT,0.5042083954826337,0.5061697619344385,0.4317456942377206,0.46600493430489415,0.5049405200627729,0.5057641729957878,1.0673526525497437
GIN,0.4977626251864479,0.49332929047907825,0.34839400428265527,0.4083835341365462,0.49988652007926004,0.49570843602122283,8.568092346191406
SAGE,0.5000532708288941,0.4854742737136857,0.14910771877015697,0.2281437618225183,0.4955038112183979,0.4899629298469585,1.416319727897644
