,Accuracy,Precision,Recall,F1 Score,AUC-ROC,AUC-PR,MSE
GCN,0.4974430002130833,0.4985195574255883,0.3397769516728624,0.40411824153612935,0.49850797120487267,0.49815433841284745,1.3971868753433228
GAT,0.49270189644150864,0.4988420565076424,0.33981909970551116,0.40425398811385677,0.4935360882354865,0.5005170316099674,1.3892587423324585
GIN,0.49930747922437674,0.4888968481375358,0.14619256720574061,0.22508038585209003,0.49322681488007303,0.49278221047633336,16.76903533935547
SAGE,0.5057532495205626,0.5076765609007164,0.31767719897523483,0.3908076165462902,0.5044590730964276,0.5016010283684492,1.1529871225357056
